stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
"MOBIITI:StopPlace:44273",,"La Lagune du Merle",,44.672318,-0.730245,,,1,,,2,,
"MOBIITI:StopPlace:45120",,"Jean du Blanc",,44.3139,-0.247872,,,1,,,2,,
"MOBIITI:StopPlace:44270",,"Ecole Haureuil",,44.579876,-0.730532,,,1,,,2,,
"MOBIITI:StopPlace:44271",,"Gargails 1",,44.6683,-0.790977,,,1,,,2,,
"MOBIITI:StopPlace:45134",,"Capsus",,44.747417,-1.088612,,,1,,,2,,
"MOBIITI:StopPlace:46466","","Centre Commercial du Lac","",44.8817,-0.566377,,,1,,,0,,
"MOBIITI:StopPlace:45135",,"Lyc. Nord Bassin",,44.75419,-1.076849,,,1,,,2,,
"MOBIITI:StopPlace:45132",,"St Leger de Vignague",,44.698727,-0.050844,,,1,,,2,,
"MOBIITI:StopPlace:45133",,"Salle des Sports",,44.758003,-1.072536,,,1,,,2,,
"MOBIITI:StopPlace:45138",,"Allee P. Despagne",,44.751354,-1.080456,,,1,,,2,,
"MOBIITI:StopPlace:45139",,"Rd Pt du Miami",,44.762844,-1.066998,,,1,,,2,,
"MOBIITI:StopPlace:44289",,"Beliet",,44.50862,-0.788315,,,1,,,2,,
"MOBIITI:StopPlace:45136",,"Comte",,44.74936,-1.107311,,,1,,,2,,
"MOBIITI:StopPlace:45137",,"Querquillas",,44.77606,-1.051825,,,1,,,2,,
"MOBIITI:StopPlace:44280",,"Lot. du Grand Chemin",,44.551395,-0.861165,,,1,,,2,,
"MOBIITI:StopPlace:44283",,"Le Moura",,44.514435,-0.793255,,,1,,,2,,
"MOBIITI:StopPlace:45130",,"Bourg",,44.609608,-0.029426,,,1,,,2,,
"MOBIITI:StopPlace:46461","","Bouliac Centre Commercial","",44.816612,-0.528018,,,1,,,0,,
"MOBIITI:StopPlace:45131",,"La Roue",,44.625877,-0.028305,,,1,,,2,,
"MOBIITI:StopPlace:44281",,"Belin",,44.493095,-0.790325,,,1,,,2,,
"MOBIITI:StopPlace:44282",,"Piste Cyclable",,44.500618,-0.7899,,,1,,,2,,
"MOBIITI:StopPlace:56256","","LIBOURNE - Parc des Sports","",44.908833,-0.235372,,,1,,,0,,
"MOBIITI:StopPlace:45145",,"La Pignada",,44.760723,-1.180255,,,1,,,2,,
